Index,EmpCode,EState,Division,CropType,Field,Area (Ha),NumberOfTree,Type
214,13534,EST,HO,T,GPM9,5.0,31505,C
215,13635,EST,HO,T,4C,2.0,26000,R
216,13736,EST,HO,T,6A,0.8,9302,R
217,13837,EST,HO,T,3A,3.3,48100,R
218,13938,EST,HO,T,19,5.8,30015,R
219,14241,EST,HO,T,4B,2.5,14308,R
220,579437,EST,HO,T,FW1,0.3,4500,C
221,579538,EST,HO,T,6A,0.8,9302,R
222,808606,EST,HO,T,3A,3.3,48100,R
223,808808,EST,HO,T,19,5.8,30015,R
224,812141,EST,HO,T,4B,2.5,14308,R
225,817898,EST,HO,T,FW1,0.3,4500,C
226,818201,EST,HO,T,FW4,0.5,5855,C
227,818100,EST,HO,T,6A,0.8,9302,R
228,810020,EST,HO,T,3A,3.3,48100,R
229,820928,EST,HO,T,19,5.8,30015,R
230,819716,EST,HO,T,4B,2.5,14308,R
231,818605,EST,HO,T,FW1,0.3,4500,C
232,818706,EST,HO,T,FW4,0.5,5855,C
233,819009,EST,HO,T,6A,0.8,9302,R
234,821736,EST,HO,T,3A,3.3,48100,R
235,817393,EST,HO,T,19,5.8,30015,R
236,810626,EST,HO,T,4B,2.5,14308,R
237,823756,EST,HO,T,FW1,0.3,4500,C
238,824968,EST,HO,T,6A,0.8,9302,R
239,822241,EST,HO,T,3A,3.3,48100,R
240,826079,EST,HO,T,19,5.8,30015,R
241,826281,EST,HO,T,4B,2.5,14308,R
242,826887,EST,HO,T,FW1,0.3,4500,C
243,824362,EST,HO,T,FW4,0.5,5855,C
244,824766,EST,HO,T,6A,0.8,9302,R
245,810828,EST,HO,T,3A,3.3,48100,R
246,819514,EST,HO,T,19,5.8,30015,R
247,825170,EST,HO,T,4B,2.5,14308,R
248,819110,EST,HO,T,FW1,0.3,4500,C
249,824160,EST,HO,T,FW4,0.5,5855,C
250,578427,EST,HO,T,GPM9,5.0,31505,C
251,817999,EST,HO,T,4C,2.0,26000,R
252,818807,EST,HO,T,6A,0.8,9302,R
