Index,Estate,Division,EmpCode,Gender,DateofJoin,PAMACT,EmployeeAge
275,EST,HO,1059591,M,2000-04-01,T,15.0
276,EST,HO,1059894,M,2000-05-01,A,15.0
277,EST,HO,1060399,M,2000-05-01,A,15.0
278,EST,HO,1071307,M,2000-05-01,A,15.0
279,EST,HO,1074135,M,2002-05-01,T,13.0
280,EST,HO,1074236,M,2000-04-01,A,15.0
281,EST,HO,1074539,F,2000-05-01,A,15.0
282,EST,HO,1074640,F,2000-05-01,A,15.0
283,EST,HO,1075448,F,2000-05-01,A,15.0
284,EST,HO,1075852,F,2000-05-01,A,15.0
285,EST,HO,1076054,F,2000-05-01,A,15.0
286,EST,HO,1079791,F,2000-05-01,A,15.0
287,EST,HO,1080902,F,,,
288,EST,HO,1081205,F,2000-05-01,A,15.0
289,EST,HO,1081407,F,2000-04-01,A,15.0
290,EST,HO,1085851,F,2000-05-01,A,15.0
291,EST,HO,1086154,F,2000-05-01,A,15.0
292,EST,HO,1086558,M,2000-05-01,A,15.0
293,EST,HO,1087770,M,2000-05-01,T,15.0
294,EST,HO,1087871,F,2000-05-01,T,15.0
295,EST,HO,1092921,M,,T,
296,EST,HO,707303,F,2000-04-01,A,15.0
297,EST,HO,708414,M,2001-03-01,T,14.0
298,EST,HO,1079387,F,2002-02-01,P,13.0
299,EST,HO,1079488,F,,T,
300,EST,HO,1079589,M,2001-03-01,T,14.0
301,EST,HO,1088275,M,2001-03-01,T,14.0
302,EST,HO,1088376,M,2001-03-01,T,14.0
303,EST,HO,1088679,F,,T,
304,EST,HO,1088780,F,,T,
305,EST,HO,208161,F,2001-04-05,T,14.0
306,EST,HO,208767,M,2002-04-01,T,13.0
307,EST,HO,214928,F,,T,
308,EST,HO,218362,M,2001-03-01,T,14.0
309,EST,HO,219170,M,2001-03-01,T,14.0
310,EST,HO,219473,F,2002-04-24,T,13.0
311,EST,HO,219574,F,,A,
312,EST,HO,1054238,F,2003-03-15,A,12.0
313,EST,HO,1059086,F,2004-02-01,A,11.0
314,EST,HO,1071711,F,2004-02-01,A,11.0
315,EST,HO,1072115,F,2004-02-01,A,11.0
316,EST,HO,1072317,F,2004-02-01,A,11.0
317,EST,HO,1072418,F,2004-02-01,A,11.0
318,EST,HO,1073933,F,2005-05-02,A,10.0
319,EST,HO,1076256,F,2005-05-02,A,10.0
320,EST,HO,1081508,F,2005-05-02,A,10.0
321,EST,HO,1081710,F,2005-05-02,A,10.0
322,EST,HO,1081811,F,2005-05-02,A,10.0
323,EST,HO,1082114,F,2005-05-02,A,10.0
324,EST,HO,1082215,M,2005-05-02,A,10.0
325,EST,HO,1085548,F,2005-05-02,A,10.0
326,EST,HO,1085750,F,2005-05-12,A,10.0
327,EST,HO,808101,M,2005-07-14,A,10.0
328,EST,HO,808202,M,,A,
329,EST,HO,811636,M,,A,
330,EST,HO,812848,M,,A,
331,EST,HO,812949,F,2002-06-01,A,13.0
332,EST,HO,814969,F,2002-06-01,A,13.0
333,EST,HO,815070,F,2002-06-01,A,13.0
334,EST,HO,816080,F,2002-06-01,A,13.0
335,EST,HO,816686,F,2002-06-01,A,13.0
336,EST,HO,816787,F,2002-06-01,A,13.0
337,EST,HO,817696,F,2002-06-01,A,13.0
338,EST,HO,818504,M,2002-06-01,A,13.0
339,EST,HO,819312,M,2002-06-01,A,13.0
340,EST,HO,820019,F,2002-06-01,A,13.0
341,EST,HO,820423,F,2002-06-01,A,13.0
342,EST,HO,821130,M,2002-07-01,I,13.0
343,EST,HO,824463,M,2002-07-01,I,13.0
344,EST,HO,824867,M,2002-07-01,I,13.0
345,EST,HO,827190,F,2002-08-06,A,13.0
346,EST,HO,827695,F,2003-03-24,A,12.0
347,EST,HO,1073630,F,2003-03-24,A,12.0
348,EST,HO,1073731,M,,A,
349,EST,HO,1074337,F,2003-03-24,A,12.0
350,EST,HO,1083831,F,2003-03-24,A,12.0
351,EST,HO,1083932,M,2003-03-01,A,12.0
352,EST,HO,1084033,M,2003-03-01,A,12.0
353,EST,HO,6065353,M,2003-03-01,A,12.0
354,EST,HO,824059,F,2003-04-29,A,12.0
355,EST,HO,1096759,F,2003-04-29,A,12.0
356,EST,HO,1096860,M,2003-05-01,A,12.0
357,EST,HO,1096961,M,2003-05-01,A,12.0
358,EST,HO,1097062,M,2003-05-01,A,12.0
359,EST,HO,1097163,M,2003-05-01,A,12.0
360,EST,HO,1414,M,2003-05-01,A,12.0
361,EST,HO,1089689,M,2003-05-01,A,12.0
362,EST,HO,1094941,M,2004-06-01,A,11.0
363,EST,HO,1095042,M,2004-06-01,I,11.0
364,EST,HO,1095143,M,2004-06-01,I,11.0
365,EST,HO,1095244,M,,A,
366,EST,HO,1095345,F,2004-11-17,A,11.0
367,EST,HO,1095446,M,2004-11-17,A,11.0
368,EST,HO,1095547,M,2004-11-17,A,11.0
369,EST,HO,1095648,M,2004-11-17,A,11.0
370,EST,HO,1095749,M,2004-11-18,A,11.0
371,EST,HO,1095850,F,2004-11-20,A,11.0
372,EST,HO,1095951,F,2004-11-22,A,11.0
373,EST,HO,1096052,F,2004-11-22,A,11.0
374,EST,HO,1096153,F,2004-12-02,A,11.0
375,EST,HO,1096254,F,2004-12-02,A,11.0
376,EST,HO,1096456,F,2001-12-02,A,14.0
377,EST,HO,1096557,F,2004-12-02,A,11.0
378,EST,HO,1096658,M,2004-12-01,A,11.0
379,EST,HO,1097264,M,2004-12-01,A,11.0
380,EST,HO,1097365,F,2005-01-19,A,10.0
381,EST,HO,1097466,F,2005-02-07,A,10.0
382,EST,HO,1097567,F,2005-02-07,A,10.0
383,EST,HO,1097668,F,2005-02-07,A,10.0
384,EST,HO,1097769,F,2005-03-14,A,10.0
385,EST,HO,1094840,F,2005-04-20,A,10.0
386,EST,HO,1097971,M,2005-04-20,A,10.0
387,EST,HO,1098072,F,2005-04-20,A,10.0
388,EST,HO,218665,F,2005-04-20,A,10.0
389,EST,HO,215231,F,2005-04-20,A,10.0
390,EST,HO,209171,F,2005-04-20,A,10.0
391,EST,HO,220281,F,2005-04-20,A,10.0
392,EST,HO,220584,F,2005-04-20,A,10.0
393,EST,HO,1072216,F,2005-04-20,A,10.0
394,EST,HO,1082013,F,2005-04-20,A,10.0
395,EST,HO,1082316,M,2005-04-20,A,10.0
396,EST,HO,1082619,F,2005-05-06,A,10.0
397,EST,HO,1083629,F,2005-05-06,A,10.0
398,EST,HO,124028,M,2005-05-09,A,10.0
399,EST,HO,116958,M,2005-05-10,A,10.0
400,EST,HO,119079,M,2005-05-10,A,10.0
401,EST,HO,123119,M,2005-05-10,A,10.0
402,EST,HO,1058783,M,2005-05-10,A,10.0
403,EST,HO,1058884,M,2005-05-10,A,10.0
404,EST,HO,1059793,M,2005-05-10,A,10.0
405,EST,HO,1060096,M,2005-05-10,A,10.0
406,EST,HO,1074438,F,2005-05-10,A,10.0
407,EST,HO,1075650,F,2005-06-01,A,10.0
408,EST,HO,1075751,F,2005-06-10,A,10.0
409,EST,HO,1075953,F,2005-07-19,A,10.0
410,EST,HO,1076357,M,,A,
411,EST,HO,1080094,M,,A,
412,EST,HO,1080195,F,,A,
413,EST,HO,1080296,M,,A,
414,EST,HO,1080498,M,,A,
415,EST,HO,1083124,M,,A,
416,EST,HO,1083528,M,,A,
417,EST,HO,1085952,M,,A,
418,EST,HO,1086053,M,,A,
419,EST,LD,289365,M,1968-12-11,A,47.0
420,EST,LD,296536,M,1969-12-31,A,46.0
421,EST,LD,332593,M,1986-08-12,A,29.0
422,EST,LD,342188,F,1957-03-14,A,58.0
423,EST,LD,359661,M,1975-03-21,A,40.0
424,EST,LD,360671,M,1975-03-21,A,40.0
425,EST,LD,361782,M,1975-03-21,A,40.0
426,EST,LD,370771,M,1977-05-19,A,38.0
427,EST,LD,371175,M,1977-04-21,A,38.0
428,EST,LD,371781,M,1977-05-19,A,38.0
429,EST,LD,371882,M,1977-04-21,A,38.0
430,EST,LD,394405,M,1980-08-07,A,35.0
431,EST,LD,407838,M,1978-05-01,A,37.0
432,EST,LD,409959,F,1978-03-07,A,37.0
433,EST,LD,415514,F,1978-10-01,A,37.0
434,EST,LD,422988,F,1979-06-11,A,36.0
435,EST,LD,425109,F,1979-10-28,A,36.0
436,EST,LD,426422,F,1980-07-14,A,35.0
437,EST,LD,433391,F,1981-02-01,A,34.0
438,EST,LD,433492,F,1984-01-01,A,32.0
439,EST,LD,433795,F,1982-02-01,A,33.0
440,EST,LD,440966,M,1980-06-04,A,35.0
441,EST,LD,447430,F,1984-12-11,A,31.0
442,EST,LD,448440,F,1984-02-01,A,31.0
443,EST,LD,450864,F,1984-11-07,A,31.0
444,EST,LD,453086,F,1985-09-06,A,30.0
445,EST,LD,457429,F,1986-07-14,A,29.0
446,EST,LD,459146,F,1984-02-28,A,31.0
447,EST,LD,476114,M,1984-11-13,A,31.0
448,EST,LD,476619,F,1986-05-21,A,29.0
449,EST,LD,478033,M,1986-03-11,A,29.0
450,EST,LD,479043,M,1987-05-01,A,28.0
451,EST,LD,479144,M,1999-11-01,A,16.0
452,EST,LD,480760,F,1988-01-01,A,28.0
453,EST,LD,484800,F,1988-12-04,A,27.0
454,EST,LD,485002,M,1987-04-01,A,28.0
455,EST,LD,485103,M,1987-04-27,A,28.0
456,EST,LD,488436,M,1988-03-24,A,27.0
457,EST,LD,495506,M,1986-08-29,A,29.0
458,EST,LD,496112,F,1988-11-01,A,27.0
459,EST,LD,496213,M,1991-11-01,A,24.0
460,EST,LD,496314,M,1988-12-01,A,27.0
461,EST,LD,499748,M,1998-02-05,A,17.0
462,EST,LD,500354,F,1989-08-01,A,26.0
463,EST,LD,503889,F,1989-08-03,A,26.0
464,EST,LD,510151,F,1990-07-28,A,25.0
465,EST,LD,514595,F,1989-02-01,A,26.0
466,EST,LD,518332,F,1975-03-21,A,40.0
467,EST,LD,519241,M,1987-06-01,A,28.0
468,EST,LD,519835,M,1988-03-01,A,27.0
469,EST,LD,519746,F,1988-05-01,A,27.0
470,EST,LD,519847,F,1988-12-01,A,27.0
471,EST,LD,522877,F,1992-08-01,A,23.0
472,EST,LD,524291,F,1993-06-10,A,22.0
473,EST,LD,524897,F,1994-01-10,A,21.0
474,EST,LD,525806,F,1994-09-06,A,21.0
475,EST,LD,526109,F,1984-11-28,A,31.0
476,EST,LD,526311,F,1995-01-19,A,20.0
477,EST,LD,526412,F,1995-12-16,A,20.0
478,EST,LD,529846,F,1998-09-01,A,17.0
479,EST,LD,530048,F,1998-09-01,A,17.0
480,EST,LD,531159,F,1999-01-02,A,17.0
481,EST,LD,531664,F,1999-08-12,A,16.0
482,EST,LD,531967,F,1999-11-11,A,16.0
483,EST,LD,537724,M,2000-02-01,A,15.0
484,EST,LD,537825,M,2000-02-01,A,15.0
485,EST,LD,538128,M,2000-02-01,A,15.0
486,EST,LD,538633,M,2000-02-01,A,15.0
